iter	Passed	Remaining
0	4	1607
1	7	1436
2	11	1507
3	16	1587
4	19	1578
5	24	1584
6	27	1569
7	30	1514
8	34	1500
9	38	1500
10	42	1488
11	43	1413
12	47	1407
13	51	1408
14	54	1398
15	58	1411
16	60	1360
17	63	1354
18	67	1352
19	70	1346
20	74	1345
21	76	1316
22	80	1322
23	82	1291
24	86	1303
25	90	1301
26	94	1300
27	97	1298
28	101	1298
29	105	1298
30	109	1303
31	113	1300
32	116	1299
33	118	1277
34	122	1278
35	126	1278
36	130	1279
37	133	1271
38	137	1271
39	141	1270
40	145	1274
41	149	1273
42	154	1278
43	157	1276
44	160	1263
45	161	1243
46	165	1240
47	169	1241
48	173	1242
49	177	1243
50	181	1242
51	185	1241
52	189	1239
53	192	1235
54	196	1230
55	200	1229
56	202	1221
57	207	1221
58	210	1217
59	213	1212
60	216	1200
61	219	1194
62	222	1190
63	223	1174
64	227	1172
65	230	1168
66	234	1166
67	238	1165
68	242	1164
69	246	1160
70	249	1157
71	253	1154
72	257	1152
73	261	1150
74	265	1148
75	268	1146
76	272	1144
77	276	1141
78	280	1137
79	284	1136
80	287	1133
81	291	1129
82	295	1126
83	298	1122
84	302	1121
85	306	1118
86	310	1115
87	314	1113
88	317	1110
89	319	1100
90	323	1097
91	326	1094
92	330	1091
93	333	1087
94	337	1084
95	341	1081
96	344	1077
97	348	1074
98	352	1071
99	356	1069
100	360	1066
101	364	1064
102	367	1061
103	371	1058
104	375	1055
105	379	1052
106	383	1049
107	386	1045
108	390	1042
109	394	1038
110	397	1035
111	401	1032
112	405	1029
113	409	1026
114	412	1023
115	416	1019
116	420	1016
117	424	1013
118	427	1009
119	431	1006
120	435	1003
121	439	1001
122	443	998
123	446	994
124	450	990
125	452	982
126	455	980
127	459	977
128	463	974
129	467	969
130	470	965
131	472	958
132	475	955
133	479	951
134	483	948
135	485	942
136	488	938
137	492	934
138	495	930
139	500	928
140	503	925
141	507	921
142	511	918
143	514	915
144	518	912
145	523	909
146	526	906
147	530	902
148	534	899
149	537	895
150	541	892
151	545	890
152	549	886
153	551	880
154	554	876
155	558	873
156	562	870
157	566	866
158	569	863
159	573	859
160	576	856
161	580	852
162	584	849
163	588	846
164	592	843
165	595	840
166	599	836
167	603	832
168	607	829
169	610	826
170	614	823
171	618	819
172	621	816
173	625	812
174	628	808
175	632	805
176	636	801
177	639	797
178	644	795
179	647	791
180	650	787
181	652	781
182	656	778
183	660	775
184	664	772
185	668	768
186	671	765
187	675	761
188	679	758
189	682	754
190	686	751
191	689	747
192	693	743
193	697	740
194	700	736
195	704	733
196	707	729
197	711	726
198	715	722
199	718	718
200	722	715
201	725	711
202	728	707
203	732	704
204	736	700
205	740	696
206	743	693
207	747	689
208	750	686
209	754	682
210	757	678
211	761	675
212	765	671
213	769	668
214	772	664
215	776	661
216	779	657
217	783	654
218	787	650
219	790	647
220	794	643
221	798	640
222	802	636
223	805	633
224	809	629
225	813	625
226	816	622
227	820	618
228	823	615
229	827	611
230	831	608
231	835	604
232	839	601
233	842	597
234	845	593
235	848	589
236	851	585
237	855	582
238	859	578
239	862	575
240	866	571
241	870	568
242	874	564
243	878	561
244	882	558
245	885	554
246	889	550
247	893	547
248	897	544
249	901	540
250	905	537
251	908	533
252	912	530
253	916	526
254	919	523
255	923	519
256	927	515
257	930	512
258	934	508
259	938	505
260	942	501
261	945	498
262	949	494
263	952	490
264	956	487
265	959	483
266	962	479
267	966	476
268	970	472
269	973	468
270	977	465
271	980	461
272	983	457
273	987	454
274	991	450
275	994	446
276	998	443
277	1001	439
278	1005	435
279	1008	432
280	1011	428
281	1015	425
282	1019	421
283	1022	417
284	1026	414
285	1029	410
286	1033	406
287	1037	403
288	1041	399
289	1045	396
290	1049	392
291	1052	389
292	1056	385
293	1060	382
294	1063	378
295	1068	375
296	1072	371
297	1075	368
298	1079	364
299	1083	361
300	1087	357
301	1090	353
302	1094	350
303	1097	346
304	1101	343
305	1105	339
306	1109	336
307	1112	332
308	1116	328
309	1120	325
310	1123	321
311	1127	317
312	1130	314
313	1134	310
314	1138	307
315	1142	303
316	1145	300
317	1149	296
318	1153	292
319	1157	289
320	1160	285
321	1164	282
322	1167	278
323	1171	274
324	1175	271
325	1179	267
326	1183	264
327	1187	260
328	1191	257
329	1194	253
330	1198	249
331	1202	246
332	1206	242
333	1210	239
334	1213	235
335	1217	231
336	1221	228
337	1224	224
338	1228	221
339	1232	217
340	1236	213
341	1239	210
342	1243	206
343	1248	203
344	1253	199
345	1257	196
346	1261	192
347	1266	189
348	1270	185
349	1274	182
350	1278	178
351	1282	174
352	1287	171
353	1291	167
354	1295	164
355	1299	160
356	1303	156
357	1306	153
358	1310	149
359	1314	146
360	1317	142
361	1321	138
362	1325	135
363	1328	131
364	1332	127
365	1335	124
366	1339	120
367	1343	116
368	1347	113
369	1350	109
370	1354	105
371	1358	102
372	1362	98
373	1366	94
374	1370	91
375	1374	87
376	1378	84
377	1381	80
378	1385	76
379	1389	73
380	1392	69
381	1396	65
382	1400	62
383	1403	58
384	1407	54
385	1411	51
386	1415	47
387	1419	43
388	1423	40
389	1427	36
390	1431	32
391	1435	29
392	1439	25
393	1443	21
394	1447	18
395	1450	14
396	1454	10
397	1458	7
398	1462	3
399	1466	0
